#OTTR,prefix,,,
,http://nf-osi.github.com/terms#,,,
sex,biosampleIndividualAnnotation,Sex,"Phenotypic expression of chromosomal makeup that defines a study subject as male, female, or other.",
species,biosampleIndividualAnnotation,Species,The name of a species (typically a taxonomic group) of organism.,
dissociationMethod,biosampleSpecimenAnnotation,Dissociation_Method,Procedure by which a biological specimen is dissociated into individual cells or a cell suspension,
sampleSite,biosampleSpecimenAnnotation,Body_Part,"Sample location referring to a named area of the body, inclusive of gross anatomical structures and organ parts. ",
specimenID,biosampleSpecimenAnnotation,,A unique identifier (non-PII) that represents the specimen (sample) from which the data came. e.g. an ID that indicates a specific tumor specimen.,"Typically annotated with a single ID, but many allowed for summary data."
specimenState,biosampleSpecimenAnnotation,,,
tissueType,biosampleSpecimenAnnotation,Tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,
tumorType,biosampleSpecimenAnnotation,Tumor,The type of tumor that the biospecimen used to generate the data were collected from.,
resourceId,crossRef,,A UUID for a Resource from the NF Research Tools Database,
curatedDataType,dataAnnotation,,The type of information being curated.,
dataSubtype,dataAnnotation,Data,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.",
dataType,dataAnnotation,Data,"A type of experimental, clinical, or other data. This typically refers to a high-level data type, that is paired with a specific assay. For example, a file of dataType of """"genomicVariants"""" might have an assay value of """"whole genome sequencing"""". ",
metadataType,dataAnnotation,,"For files of dataSubtype: metadata, a description of the type of metadata in the file.",
fileFormat,dataAnnotation,,,
fundingAgency,dccAnnotation,,Refers to the funding organization for the generated resource. This annotation is handled by the DCC.,
initiative,dccAnnotation,,"Refers to a funding initiative. This annotation is usually handled by the DCC or funder, not the researcher. ",
experimentId,experimentAnnotation,,"When applicable, an optional identifier that can be used to distinguish or group the experiments that generated the data; also can be used to denote internal batch reference if needed.",
timePointUnit,experimentAnnotation,Time_Unit,For timed experiments this represents the unit of time measured,
genePerturbationTechnology,experimentAnnotation,Gene_Perturbation_Technology,Technology used to perform gene perturbation,
genePerturbationType,experimentAnnotation,Gene_Perturbation,Specific way in which a single gene was perturbed in a sample,
nf1Genotype,genotypeAnnotation,Genotype,,
nf2Genotype,genotypeAnnotation,Genotype,,
organ,sampleSite,Organ,A unique macroscopic (gross) anatomic structure that performs specific functions. It is composed of various tissues. An organ is part of an anatomic system or a body region.,
bodyPart,sampleSite,Body_Part,,
benefactorId,synapseProperty,,The id of the resource from which access control is inherited.,
concreteType,synapseProperty,,Refers to the class model the data platform uses for representing the resource. This is a low-level field set by the platform and is not a user annotation.,
contentSize,synapseProperty,,(Files only) File size calculated by the platform.,
createdBy,synapseProperty,,Refers to the user who created the resource on the platform.,
createdOn,synapseProperty,,Refers to when the resource was created on the platform.,
currentVersion,synapseProperty,,(Versionable entities only) The current version number of the resource.,
dataFileHandleId,synapseProperty,,(Files only) Refers to the id of the file.,
etag,synapseProperty,,Synapse employs an Optimistic Concurrency Control (OCC) scheme to handle concurrent updates. The E-Tag changes every time an entity is updated it is used to detect when a client's current representation of an entity is out-of-date.,
id,synapseProperty,,The entity id for the resource automatically assigned by the platform.,
modifiedBy,synapseProperty,,Refers to a user who last modified the resource on the platform.,
parentId,synapseProperty,,"The id of the parent resource, i.e. the parent folder on the platform. ",
type,synapseProperty,,"Refers to the type of the resource on the platform, e.g. “file”.",
transplantationRecipientSpecies,transplantationCharacteristic,Species,Species into which donor tissue was grown,
transplantationRecipientTissue,transplantationCharacteristic,Tissue,Tissue into which a xenograph sample is transplanted,
transplantationType,transplantationCharacteristic,Transplantation,"Type of transplantation involved in the experiment, derived from MESH",
libraryID,,,,
modelSystemName,crossRef,Model_System,"A group of presumed common ancestry with clear-cut physiological but usually not morphological distinctions such as an animal model or cell line. EXAMPLE(S):  HEK293T (cell line), Minnesota5 (swine strain), DXL (poultry strain), RB51 (vaccine strain of Brucella abortus)",
experimentalCondition,,,A free-text description of the experimental condition (e.g. 5 mM doxorubicin).,
experimentalTimepoint,,,The numeric value indicating the time elapsed from the beginning of the experiment at which the specimen was collected. Use in tandem with timePointUnit,
genePerturbed,,Gene,The HUGO gene symbol for the gene that is perturbed.,
resourceType,,Resource,The type of resource being stored and annotated,
specimenPreparationMethod,"Term that represents preservation of the sample before usage in, e.g. sequencing",,,
nf2Genotype,,,"Genotype of NF2 gene in the biospecimen from which the data were derived, if known",
nf1Genotype,,,"Genotype of NF1 gene in the biospecimen from which the data were derived, if known",
metadataTemplate,,,,
#OTTR,end,,,
