# cBioPortal Tumor_Sample_Barcode -> portal specimenID / individualID.
# Regenerate with scripts/map_cbioportal_samples.py. Rows whose `method` is
# not one of (prefix_guess, strip_last_segment, unmatched, verbatim) are treated as
# human-authored and preserved on rerun -- use method=manual for hand fixes.
study_id	tumor_sample_barcode	specimen_id	individual_id	method	notes
nst_nfosi_ntap	JH-2-090-19D3F-A	JH-2-090-19D3F	JH-2-090	strip_last_segment	
nst_nfosi_ntap	JH-2-090-59DE8-A	JH-2-090-59DE8	JH-2-090	strip_last_segment	
nst_nfosi_ntap	JH-2-091-CAA8H-A	JH-2-091-CAA8H	JH-2-091	strip_last_segment	
nst_nfosi_ntap	JH-2-092-B4F11-A	JH-2-092-B4F11	JH-2-092	strip_last_segment	
nst_nfosi_ntap	JH-2-092-B52E5-A	JH-2-092-B52E5	JH-2-092	strip_last_segment	
nst_nfosi_ntap	JH-2-093-214AE-A	JH-2-093-214AE	JH-2-093	strip_last_segment	
nst_nfosi_ntap	JH-2-093-518GA-A	JH-2-093-518GA	JH-2-093	strip_last_segment	
nst_nfosi_ntap	JH-2-094-151G9-A	JH-2-094-151G9	JH-2-094	strip_last_segment	
nst_nfosi_ntap	JH-2-094-5HA24-A	JH-2-094-5HA24	JH-2-094	strip_last_segment	
nst_nfosi_ntap	JH-2-095-4H3FE-A	JH-2-095-4H3FE	JH-2-095	strip_last_segment	
nst_nfosi_ntap	JH-2-096-5E593-A	JH-2-096-5E593	JH-2-096	strip_last_segment	
nst_nfosi_ntap	JH-2-099-26HCE-A	JH-2-099-26HCE	JH-2-099	strip_last_segment	
nst_nfosi_ntap	JH-2-100-19H33-A	JH-2-100-19H33	JH-2-100	strip_last_segment	
nst_nfosi_ntap	JH-2-102-3B72A-A			unmatched	no portal specimenID among 'JH-2-102-3B72A-A', 'JH-2-102-3B72A'; set method=manual to fix by hand
nst_nfosi_ntap	JH-2-103-H731E-A	JH-2-103-H731E	JH-2-103	strip_last_segment	
nst_nfosi_ntap	JH-2-104-51E2H-A	JH-2-104-51E2H	JH-2-104	strip_last_segment	
nst_nfosi_ntap	JH-2-111-G645D-A	JH-2-111-G645D	JH-2-111	strip_last_segment	
nst_nfosi_ntap	JH-2-113-7857D-A	JH-2-113-7857D	JH-2-113	strip_last_segment	
schw_ctf_synodos_2025	swn_patient_10_tumor_108	swn_patient_10_tumor_108	swn_patient_10	verbatim	
schw_ctf_synodos_2025	swn_patient_10_tumor_109	swn_patient_10_tumor_109	swn_patient_10	verbatim	
schw_ctf_synodos_2025	swn_patient_10_tumor_110	swn_patient_10_tumor_110	swn_patient_10	verbatim	
schw_ctf_synodos_2025	swn_patient_10_tumor_111	swn_patient_10_tumor_111	swn_patient_10	verbatim	
schw_ctf_synodos_2025	swn_patient_10_tumor_112	swn_patient_10_tumor_112	swn_patient_10	verbatim	
schw_ctf_synodos_2025	swn_patient_11_tumor_25	swn_patient_11_tumor_25	swn_patient_11	verbatim	
schw_ctf_synodos_2025	swn_patient_11_tumor_26	swn_patient_11_tumor_26	swn_patient_11	verbatim	
schw_ctf_synodos_2025	swn_patient_1_tumor_10	swn_patient_1_tumor_10	swn_patient_1	verbatim	
schw_ctf_synodos_2025	swn_patient_1_tumor_11	swn_patient_1_tumor_11	swn_patient_1	verbatim	
schw_ctf_synodos_2025	swn_patient_1_tumor_8	swn_patient_1_tumor_8	swn_patient_1	verbatim	
schw_ctf_synodos_2025	swn_patient_1_tumor_9	swn_patient_1_tumor_9	swn_patient_1	verbatim	
schw_ctf_synodos_2025	swn_patient_21_tumor_53	swn_patient_21_tumor_53	swn_patient_21	verbatim	
schw_ctf_synodos_2025	swn_patient_23_tumor_46	swn_patient_23_tumor_46	swn_patient_23	verbatim	
schw_ctf_synodos_2025	swn_patient_23_tumor_47	swn_patient_23_tumor_47	swn_patient_23	verbatim	
schw_ctf_synodos_2025	swn_patient_25_tumor_56	swn_patient_25_tumor_56	swn_patient_25	verbatim	
schw_ctf_synodos_2025	swn_patient_27_tumor_87	swn_patient_27_tumor_87	swn_patient_27	verbatim	
schw_ctf_synodos_2025	swn_patient_27_tumor_88	swn_patient_27_tumor_88	swn_patient_27	verbatim	
schw_ctf_synodos_2025	swn_patient_28_tumor_62	swn_patient_28_tumor_62	swn_patient_28	verbatim	
schw_ctf_synodos_2025	swn_patient_28_tumor_63	swn_patient_28_tumor_63	swn_patient_28	verbatim	
schw_ctf_synodos_2025	swn_patient_28_tumor_64	swn_patient_28_tumor_64	swn_patient_28	verbatim	
schw_ctf_synodos_2025	swn_patient_28_tumor_65	swn_patient_28_tumor_65	swn_patient_28	verbatim	
schw_ctf_synodos_2025	swn_patient_2_tumor_12	swn_patient_2_tumor_12	swn_patient_2	verbatim	
schw_ctf_synodos_2025	swn_patient_2_tumor_13	swn_patient_2_tumor_13	swn_patient_2	verbatim	
schw_ctf_synodos_2025	swn_patient_31_tumor_70	swn_patient_31_tumor_70	swn_patient_31	verbatim	
schw_ctf_synodos_2025	swn_patient_32_tumor_74	swn_patient_32_tumor_74	swn_patient_32	verbatim	
schw_ctf_synodos_2025	swn_patient_32_tumor_75	swn_patient_32_tumor_75	swn_patient_32	verbatim	
schw_ctf_synodos_2025	swn_patient_33_tumor_94	swn_patient_33_tumor_94	swn_patient_33	verbatim	
schw_ctf_synodos_2025	swn_patient_38_tumor_89	swn_patient_38_tumor_89	swn_patient_38	verbatim	
schw_ctf_synodos_2025	swn_patient_38_tumor_90	swn_patient_38_tumor_90	swn_patient_38	verbatim	
schw_ctf_synodos_2025	swn_patient_39_tumor_6	swn_patient_39_tumor_6	swn_patient_39	verbatim	
schw_ctf_synodos_2025	swn_patient_39_tumor_95	swn_patient_39_tumor_95	swn_patient_39	verbatim	
schw_ctf_synodos_2025	swn_patient_4_tumor_28	swn_patient_4_tumor_28	swn_patient_4	verbatim	
schw_ctf_synodos_2025	swn_patient_54_tumor_135	swn_patient_54_tumor_135	swn_patient_54	verbatim	
schw_ctf_synodos_2025	swn_patient_59_tumor_136	swn_patient_59_tumor_136	swn_patient_59	verbatim	
schw_ctf_synodos_2025	swn_patient_63_tumor_123	swn_patient_63_tumor_123	swn_patient_63	verbatim	
schw_ctf_synodos_2025	swn_patient_64_tumor_121	swn_patient_64_tumor_121	swn_patient_64	verbatim	
schw_ctf_synodos_2025	swn_patient_64_tumor_125	swn_patient_64_tumor_125	swn_patient_64	verbatim	
schw_ctf_synodos_2025	swn_patient_6_tumor_15	swn_patient_6_tumor_15	swn_patient_6	verbatim	
schw_ctf_synodos_2025	swn_patient_7_tumor_16	swn_patient_7_tumor_16	swn_patient_7	verbatim	
schw_ctf_synodos_2025	swn_patient_8_tumor_21	swn_patient_8_tumor_21	swn_patient_8	verbatim	
